 de ,33741
 le ,27756
 bus,19644
bus ,18354
 la ,17529
s le,14182
ans ,13377
e bu,13281
les ,12641
dans,12321
 dan,11818
e de,11698
 pas,11679
 et ,11306
s de,11066
 est,10649
est ,10649
ais ,10441
ns l,10193
 les,10111
le b,10031
que ,9953
our ,9689
pas ,9408
ent ,9401
 un ,9374
 en ,9314
 je ,9312
 pou,9079
pour,8737
 que,8591
sncf,7387
 des,6840
 tra,6618
ait ,6537
ncf ,6530
de l,6458
des ,6401
e le,6397
e la,6317
 qui,6309
qui ,6219
 par,6201
 il ,6161
t de,5835
 du ,5818
r le,5794
s qu,5627
c es,5624
le m,5558
e re,5225
 fai,5144
ment,5112
 c e,5040
une ,4997
ous ,4969
 ai ,4815
 snc,4805
ur l,4795
t le,4789
 mon,4778
 j a,4774
étro,4662
 mét,4651
lle ,4646
métr,4646
de m,4631
e pa,4607
tre ,4600
rer ,4594
e qu,4586
j ai,4551
 une,4544
de b,4492
 sur,4483
 tou,4453
tro ,4345
ain ,4232
ire ,4230
mais,4199
tion,4193
 à l,4168
sur ,4136
 on ,4092
 mai,4049
ant ,4022
ion ,3914
elle,3906
uis ,3880
 ...,3880
pren,3803
 me ,3775
e à ,3763
ille,3751
 pre,3735
us d,3729
 con,3685
e tr,3674
rend,3672
e mé,3672
e su,3664
 com,3663
 arr,3656
trai,3645
e ma,3638
rain,3563
n de,3533
la s,3533
 rer,3501
es d,3478
t pa,3459
r de,3440
re d,3430
eur ,3427
s pa,3426
 ave,3423
 cha,3367
mon ,3345
s à ,3303
ndre,3267
e me,3258
t qu,3207
s en,3189
 au ,3184
avec,3148
 moi,3145
vec ,3136
aire,3136
endr,3136
oir ,3135
 sui,3098
 y a,3093
ont ,3082
e mo,3069
suis,3067
dre ,3062
de p,3054
emen,3051
re l,3047
nt d,3046
e co,3045
s et,3043
 plu,3034
 l a,3006
s po,2998
 vou,2997
n bu,2966
le t,2957
e da,2956
s da,2939
urs ,2917
plus,2907
y a ,2905
jour,2872
tout,2870
vous,2836
e pr,2817
er d,2793
ois ,2793
tes ,2759
lus ,2757
us e,2739
es p,2733
er l,2707
ens ,2705
le r,2698
e po,2670
omme,2629
ue j,2613
le d,2610
nce ,2610
fait,2607
comm,2588
atio,2565
 ça ,2562
ter ,2558
e je,2545
and ,2536
eux ,2535
 cou,2519
a sn,2516
es c,2506
is p,2490
es b,2481
de c,2480
 voi,2479
 ret,2477
e vo,2448
out ,2443
ler ,2436
is d,2404
 son,2400
asse,2397
le p,2388
ance,2386
ien ,2385
je s,2377
 qu ,2366
 ce ,2356
e et,2316
r la,2314
on d,2312
quan,2310
de t,2306
... ,2293
voir,2292
 qua,2292
as d,2289
vais,2289
s co,2286
moi ,2284
le c,2268
 ava,2267
s la,2265
ntre,2263
uand,2257
à la,2255
nt l,2228
 all,2220
es g,2218
sse ,2217
pass,2216
us p,2204
e ch,2202
res ,2191
s un,2190
entr,2178
de s,2164
e en,2163
te d,2151
ils ,2150
 gar,2149
alle,2122
 éta,2121
 tu ,2114
de r,2110
port,2083
 gen,2082
igne,2063
ris ,2055
onne,2051
in d,2044
ur d,2027
leur,2023
ue l,2014
 tro,2007
étai,2004
je v,2004
us a,1990
ns d,1987
e so,1985
e l ,1981
ure ,1960
et l,1952
 fra,1950
 min,1949
r un,1944
part,1942
t un,1937
 ell,1930
arrê,1924
rrêt,1924
tard,1920
fair,1912
avai,1901
 vie,1896
t à ,1894
r à ,1892
s tr,1871
 à c,1869
et d,1868
lign,1867
 ma ,1861
ours,1854
e fa,1851
us l,1837
e un,1837
 se ,1835
is l,1833
ard ,1832
s il,1823
t la,1820
 jou,1806
st p,1805
mme ,1804
e se,1803
 che,1801
pari,1792
t en,1788
ère ,1787
 ren,1786
on a,1786
nt p,1784
aris,1781
ique,1780
es t,1780
un b,1774
 per,1763
 mat,1759
ins ,1757
 ne ,1750
ller,1749
le s,1729
 ils,1728
eure,1722
oute,1713
reta,1711
es a,1711
main,1706
la p,1700
ratp,1690
cont,1688
etar,1684
 pro,1682
ons ,1675
 d a,1671
e j ,1670
s ma,1669
 mer,1665
a un,1655
ite ,1649
de d,1641
 peu,1632
nne ,1623
 bon,1613
la c,1612
à l ,1606
s pr,1599
es m,1587
e du,1584
en p,1581
s bu,1575
heur,1574
es s,1573
ier ,1571
eurs,1563
ouve,1551
 si ,1551
la f,1548
 rat,1543
e pe,1540
son ,1535
la r,1535
tait,1531
ient,1531
se d,1523
fran,1520
ne p,1518
ser ,1516
arri,1508
 lig,1506
s av,1506
atte,1505
bien,1493
nde ,1492
tten,1491
on p,1490
s je,1487
on b,1484
gens,1484
a pa,1477
 att,1477
rès ,1477
 mar,1475
me d,1474
même,1473
chau,1467
s ge,1462
la m,1453
mati,1445
er a,1444
ine ,1444
e to,1443
es e,1439
rriv,1437
par ,1436
 à h,1434
ette,1424
 mêm,1417
atp ,1416
n re,1415
gne ,1415
er à,1413
ontr,1412
de v,1408
er e,1408
t da,1406
rent,1405
 va ,1404
 mdr,1403
 nou,1400
ur a,1398
ême ,1398
s mo,1394
e sa,1394
 à p,1391
e . ,1390
e c ,1387
tend,1385
 heu,1383
dema,1379
 pla,1379
 a p,1378
ne d,1378
gare,1377
s su,1372
 ! !,1370
s so,1367
la g,1364
rs d,1358
ranc,1357
 dir,1355
it d,1354
nes ,1353
de f,1348
 bie,1347
je p,1344
ce q,1338
us c,1335
ste ,1331
 ou ,1323
ors ,1319
vant,1319
as l,1316
 jus,1313
che ,1313
e fo,1312
age ,1312
n co,1305
é de,1298
s c ,1293
us q,1289
trop,1286
e va,1284
cour,1281
 dem,1280
s au,1279
s vo,1279
mes ,1270
s re,1266
are ,1261
ers ,1260
n tr,1259
n a ,1256
us j,1252
vien,1250
end ,1249
ai p,1247
aux ,1247
e pl,1247
 a u,1244
is e,1241
is a,1241
ute ,1238
es l,1237
rêt ,1233
près,1229
on e,1228
i pa,1227
rte ,1227
 ser,1226
 pri,1224
 à m,1221
it p,1220
is m,1219
 car,1218
s ch,1218
s me,1217
e d ,1210
sont,1209
ie d,1209
e te,1203
re e,1201
st l,1199
e vi,1199
un p,1191
ise ,1190
u il,1188
s on,1187
rop ,1186
 a d,1186
dire,1185
comp,1184
e di,1183
re p,1183
 ent,1182
en r,1179
 don,1177
s . ,1175
n es,1175
mmen,1174
 vai,1174
a fa,1172
tour,1171
me p,1170
is q,1170
quoi,1169
a de,1168
merc,1167
ble ,1165
r da,1165
 pré,1162
 dev,1162
s du,1160
non ,1157
r qu,1152
ue d,1152
 met,1151
s j ,1148
à h ,1147
atin,1141
min ,1136
tte ,1136
du b,1132
 apr,1131
emai,1127
inte,1125
uffe,1120
is j,1120
t po,1120
être,1119
erci,1117
qu i,1113
e ce,1112
hauf,1109
leme,1107
auff,1107
l ar,1107
rive,1097
nter,1097
coup,1095
en a,1095
et j,1091
u bu,1091
s es,1090
euro,1088
e au,1083
tent,1082
du m,1080
tran,1080
ort ,1079
t to,1079
cher,1078
la v,1075
us s,1074
es r,1074
orte,1073
 soi,1065
