bus,25871
les,22417
pas,20683
.,19350
a,18019
!,12052
?,10585
:,9436
sncf,7715
...,7700
ça,6672
gérer,6078
plus,5907
métro,5640
fait,4526
ne,4484
faire,4282
quand,4233
récupérer,4137
tout,4107
si,4071
va,3647
ele,3616
ils,3511
rer,3509
n,3499
train,3345
come,3267
mdr,3121
bien,2786
prendre,2590
trop,2487
vais,2466
gens,2400
faut,2238
être,2180
aler,2137
espérer,2134
-,1980
retard,1922
rt,1911
bon,1889
temps,1884
après,1831
avoir,1782
alors,1776
là,1768
donc,1704
non,1703
tous,1622
dit,1607
paris,1607
fois,1600
merci,1533
peut,1528
encore,1518
2,1514
rien,1506
france,1504
matin,1463
voir,1455
gare,1454
arêt,1444
chez,1425
coment,1410
1,1400
juste,1396
sans,1362
mec,1347
déjà,1341
quoi,1326
monde,1324
vie,1323
heure,1315
ausi,1298
o,1295
demain,1288
ratp,1266
vu,1256
gars,1231
cete,1226
sais,1225
ligne,1222
arive,1193
libérer,1192
coup,1185
dire,1173
peu,1169
ca,1168
avant,1166
parce,1140
fais,1132
pase,1129
ya,1128
peux,1121
place,1101
oui,1084
chaufeur,1053
jour,1047
grève,1046
toujours,1043
mal,1033
pr,1017
meuf,1003
entre,1001
jamais,994
merde,982
3,979
soir,949
côté,936
considérer,934
genre,924
autre,901
vraiment,885
moins,877
trains,876
ptdr,872
viens,869
envie,866
deux,862
prend,861
contre,858
carte,848
putain,847
depuis,841
metre,839
minutes,837
devant,833
préférer,829
vois,826
ds,825
paser,823
veux,821
cause,814
jusqu,809
toute,802
ptn,800
pris,799
galérer,799
persone,794
ans,781
dis,775
bonjour,766
dois,765
car,749
ah,739
moment,737
trafic,735
pourquoi,729
mieux,724
journée,724
vont,720
veut,716
vient,716
jsuis,696
min,694
telement,690
jours,690
match,689
très,679
partir,676
opérer,674
cours,672
rentrer,672
10,654
;,650
pense,648
qd,645
puis,641
gros,634
crois,632
doit,630
bah,626
seul,613
5,613
pendant,611
voiture,606
truc,602
mère,599
fin,596
bone,592
nuit,591
atendre,588
vrai,586
hier,585
compte,582
vers,582
mort,580
grave,576
font,573
prends,569
aime,566
part,563
tgv,552
sinon,551
parle,548
cas,548
retour,544
contrôleur,544
navigo,543
demande,542
autres,541
acélérer,535
vile,534
reste,533
sous,532
petit,530
tête,528
maintenant,524
sens,519
ariver,519
semaine,517
aujourd,514
lieu,514
leurs,511
hui,510
équipe,509
pouvoir,505
pcq,504
chaque,501
trajet,500
ceux,499
b,495
4,494
g,489
repérer,487
pire,480
besoin,479
30,477
mois,475
problème,474
euro,474
..,474
toutes,473
espère,472
file,469
vs,468
alez,464
direction,462
seule,459
20,449
pays,449
chaud,445
posible,442
bac,442
comence,442
grand,440
savoir,440
chose,439
travail,438
départ,434
vas,433
mis,425
met,425
bilet,422
ok,420
suite,420
lyon,418
fond,417
face,417
route,416
1h,414
pasé,413
surtout,410
quel,409
digérer,408
horaires,407
français,407
15,406
gueule,406
lycée,400
sortir,399
vite,397
normal,396
payer,394
anée,393
plein,392
droit,391
service,391
arête,390
parler,388
12,386
ouais,385
celui,381
quelqu,380
heures,378
fou,378
peur,376
finale,375
tram,373
avance,372
super,372
pane,366
regarder,366
venir,364
beau,364
ici,363
vacances,362
pu,362
cet,362
transférer,361
pied,360
musique,358
sait,356
meme,355
arêter,354
ticket,354
bleus,354
euro2016,353
station,351
trouve,351
enfin,351
regarde,350
rail,348
dès,347
porte,347
svp,345
prix,343
fleme,342
marche,341
pote,339
mare,336
site,336
dernière,334
beaucoup,333
persones,332
rerb,332
ni,332
mecs,331
victoire,331
sauf,330
devoir,329
trouver,329
lignes,329
asez,328
dernier,327
frapor,324
point,324
col,321
go,318
autant,317
grose,317
dormir,316
quai,314
hein,314
lol,314
vieux,313
atend,311
dimanche,310
fdp,309
jvais,309
monter,307
ter,307
2016,307
raison,306
jouer,305
reraratp,305
père,305
argent,304
choses,304
chance,304
petite,303
done,303
meufs,303
voit,301
tramway,299
tour,297
laiser,296
oh,295
fort,294
eles,294
6,292
laise,292
sortie,292
photo,291
travaux,290
lundi,290
con,289
loin,288
twiter,288
perdu,288
feme,287
question,286
st,286
jeu,284
tolérer,284
esayer,284
rater,283
permis,282
conducteur,282
direct,280
atends,280
moyen,278
rentre,278
chercher,278
adhérer,276
voyage,275
bout,275
exagérer,274
rue,274
plutôt,274
nouveau,274
derière,273
tel,272
gagner,272
rercsncf,272
dur,272
jme,272
nouvele,272
doner,270
anonce,269
2h,269
cela,268
veulent,266
vidéo,264
début,264
histoire,263
nan,263
oublié,262
parti,262
fot,261
courir,261
quele,261
bordel,260
partie,260
première,257
peine,257
aucun,257
taper,257
marseile,256
niveau,256
heureusement,256
sac,256
jai,255
premier,253
pute,252
transports,252
